precision,recall,f1,kappa
0.5,0.175,0.25925925925925924,0.0
0.5,0.344,0.4075829383886256,0.0
0.5,0.434,0.46466809421841543,0.0
0.5,0.383,0.4337485843714609,0.0
0.5,0.35541666666666666,0.4154895275207014,0.0
0.5,0.40891666666666665,0.44989456312459886,0.0
0.5,0.36133333333333334,0.4195046439628483,0.0
0.519217754492056,0.5113333333333333,0.3752676367928753,0.01638159479643453
0.5,0.43566666666666665,0.46562166013537587,0.0
0.5124814754960785,0.5134444444444444,0.39992951632489504,0.016541353383458635
0.5,0.42833333333333334,0.4614003590664273,0.0
0.5,0.363,0.4206257242178447,0.0
0.5,0.45216666666666666,0.4748818484158936,0.0
0.5,0.47883333333333333,0.48918780861569894,0.0
0.5,0.32466666666666666,0.3936944219886823,0.0
0.5361047582520089,0.5406666666666666,0.4303999935819718,0.05096073517126154
0.5,0.39066666666666666,0.43862275449101795,0.0
0.5,0.39775,0.443052074631022,0.0
0.5,0.24722222222222223,0.3308550185873606,0.0
0.5,0.4,0.4444444444444444,0.0
0.5,0.423,0.4582881906825569,0.0
0.5,0.41983333333333334,0.4564232650842544,0.0
0.5,0.3433333333333333,0.40711462450592883,0.0
0.5,0.37933333333333336,0.4313874147081122,0.0
0.5,0.4573333333333333,0.4777158774373259,0.0
0.5,0.4043333333333333,0.4471065241430151,0.0
0.49623705295352877,0.49666666666666665,0.35164651848313777,-0.0038769707934867004
0.5,0.32566666666666666,0.39442874444893017,0.0
0.5,0.4201666666666667,0.45662017750407535,0.0
0.5,0.3521111111111111,0.41322206285043683,0.0
0.5,0.4071666666666667,0.448833363953702,0.0
0.5,0.4005,0.444752915047196,0.0
0.5,0.3363333333333333,0.40215225189318454,0.0
0.5,0.4388888888888889,0.46745562130177515,0.0
0.5,0.3932222222222222,0.44022888418957584,0.0
0.5,0.43016666666666664,0.4624619243863107,0.0
0.5,0.44433333333333336,0.4705259442287328,0.0
0.5,0.4292222222222222,0.46191558053330145,0.0
0.5,0.4281111111111111,0.46127139949718665,0.0
0.5530326945302694,0.539,0.3572073510476885,0.04382569609189657
0.5,0.36891666666666667,0.4245708257408651,0.0
0.5,0.40008333333333335,0.44449588001111007,0.0
0.5494797173980711,0.5313807982740022,0.4646673199829812,0.058304830642405325
0.5,0.40858333333333335,0.44969274511602314,0.0
0.5,0.3932222222222222,0.44022888418957584,0.0
0.4778486620591884,0.493,0.3065220247081871,-0.00970200970200974
0.5,0.41733333333333333,0.45494186046511625,0.0
0.5,0.451,0.47423764458464773,0.0
0.5,0.42277777777777775,0.45815773630343165,0.0
0.5,0.4735,0.48638931689779147,0.0
0.5,0.45466666666666666,0.4762569832402235,0.0
0.5,0.37133333333333335,0.42616679418515685,0.0
0.5,0.45655555555555555,0.47729120687652454,0.0
0.5,0.335,0.40119760479041916,0.0
0.5,0.41291666666666665,0.45230488361478777,0.0
0.5,0.387,0.4363021420518602,0.0
0.5,0.3788888888888889,0.4310998735777497,0.0
0.5,0.38966666666666666,0.4379917572124391,0.0
0.5,0.3347777777777778,0.4010382004525489,0.0
0.5,0.2145,0.3002099370188943,0.0
