precision,recall,f1,kappa
0.5,0.20666666666666667,0.29245283018867924,0.0
0.5,0.3323333333333333,0.39927913496195433,0.0
0.5,0.453,0.4753410283315845,0.0
0.5,0.3811111111111111,0.43253467843631777,0.0
0.5,0.36983333333333335,0.42517723701858595,0.0
0.5,0.41483333333333333,0.45345235926398253,0.0
0.5,0.36766666666666664,0.42374183634268153,0.0
0.5320952736912195,0.5181666666666667,0.377170721407855,0.026151631477927206
0.5,0.4538333333333333,0.47579940590599334,0.0
0.48313611719043675,0.4826666666666667,0.36726134173488184,-0.020979020979021046
0.5,0.438,0.4669509594882729,0.0
0.5,0.37733333333333335,0.43009118541033436,0.0
0.5,0.448,0.47257383966244726,0.0
0.5,0.48133333333333334,0.4904891304347826,0.0
0.5,0.3383333333333333,0.40357852882703776,0.0
0.5350704798048251,0.5306666666666667,0.3751600227093097,0.035567010309278335
0.5,0.39408333333333334,0.4407680119302824,0.0
0.5,0.425,0.4594594594594595,0.0
0.5,0.3582222222222222,0.4174003107198343,0.0
0.5,0.42283333333333334,0.45819035578833306,0.0
0.5,0.44116666666666665,0.4687444660881884,0.0
0.5,0.4563333333333333,0.4771697455559428,0.0
0.5,0.3761111111111111,0.4292961318960051,0.0
0.5,0.43022222222222223,0.462494027711419,0.0
0.5,0.44766666666666666,0.4723883221948646,0.0
0.5,0.38766666666666666,0.4367254975591438,0.0
0.5198797491484669,0.5214444444444445,0.4062441791200652,0.026398577485980068
0.5,0.33208333333333334,0.39909864797195793,0.0
0.5,0.41225,0.4519046314058646,0.0
0.5,0.2698888888888889,0.3505556357338721,0.0
0.5,0.3978333333333333,0.4431037683311676,0.0
0.5,0.393,0.4400895856662934,0.0
0.5,0.3031111111111111,0.3774211400110681,0.0
0.5,0.43422222222222223,0.4647954329210276,0.0
0.5,0.3527777777777778,0.41368078175895767,0.0
0.5,0.38816666666666666,0.437042597110152,0.0
0.5,0.42544444444444446,0.4597190539080322,0.0
0.5,0.3332222222222222,0.3999199893319109,0.0
0.5,0.37833333333333335,0.4307400379506641,0.0
0.5445806703382187,0.5408888888888889,0.3904755380629733,0.04794163626889003
0.5,0.32266666666666666,0.39222042139384117,0.0
0.5,0.34791666666666665,0.4103194103194103,0.0
0.591178852777683,0.5769115426105718,0.5441873580951272,0.1458404074702887
0.5,0.37216666666666665,0.42671507739346454,0.0
0.5,0.3595555555555556,0.41830403309203723,0.0
0.5237969410917777,0.5101666666666667,0.3439384810072273,0.014315888289134104
0.5,0.382,0.4331065759637188,0.0
0.5,0.4028888888888889,0.44622200344572976,0.0
0.5,0.37155555555555553,0.4263131055583886,0.0
0.5,0.422,0.45770065075921906,0.0
0.5,0.4043333333333333,0.4471065241430151,0.0
0.5,0.3502222222222222,0.41191845269210664,0.0
0.5,0.3993333333333333,0.4440326167531505,0.0
0.5,0.3284166666666667,0.39643899004124333,0.0
0.5,0.371,0.425947187141217,0.0
0.5,0.33844444444444444,0.403657566922873,0.0
0.5,0.35,0.4117647058823529,0.0
0.5,0.35833333333333334,0.4174757281553398,0.0
0.5,0.27455555555555555,0.3544685124085497,0.0
0.5,0.3443333333333333,0.40781681800236874,0.0
